Mã chuy?n nh??ng,,Mã CLB,S? áo,V? trí,Ngày chuy?n t?i,Ngày r?i ?i,L??ng,Mã c?u th?,,,,,,,,,,,,,,
,,,,,,,,,,,GK :goalkepper,,,,,,,,,,,
ARS001,,ARS,22,GK,,,,esp000,,,CB: centre back,,,,,,,,,,,
ARS002,,ARS,2,CB,,,,fra000,,,LB: left back,,,,,,,,,,,
ARS003,,ARS,6,CB,,,,bra000,,,RB: right back,,,,,,,,,,,
ARS004,,ARS,18,RB,,,,jap000,,,,,,,,,,,,,,
ARS005,,ARS,35,LB,,,,ukr000,,,,,,,,,,,,,,
ARS006,,ARS,41,DM,,,,eng000,,,,Note:,5/6/2024: Thay mã c?u th?  c? b?ng mã chuy?n nh??ng ( do thi?u khóa chính),,,,,,,,,
ARS007,,ARS,20,CM,,,,ita000,,,,,,,,,,,,,,
ARS008,,ARS,5,DM,,,,gha000,,,,,,,,,,,,,,
ARS009,,ARS,29,AM,,,,ger000,,,,,,,,,,,,,,
ARS010,,ARS,8,AM,,,,nor000,,,,,,,,,,,,,,
ARS011,,ARS,19,LW,,,,bel000,,,DM: defensive mifieldder,,,,,,,,,,,
ARS012,,ARS,11,LW,,,,bra001,,,CM: central midfielder,,,,,,,,,,,
ARS013,,ARS,7,RW,,,,eng001,,,AM: Attacking midfielder,,,,,,,,,,,
ARS014,,ARS,9,ST,,,,bra002,,,,,,,,,,,,,,
ARS015,,ARS,4,CB,,,,eng002,,,,,,,,,,,,,,
CHE001,,CHE,28,GK,,,,srb000,,,,,,,,,,,,,,
CHE002,,CHE,6,CB,,,,bra003,,,LW: left winger,,,,,,,,,,,
CHE003,,CHE,14,CB,,,,eng003,,,RW: right winger,,,,,,,,,,,
CHE004,,CHE,3,CB,,,,esp001,,,ST: Striker,,,,,,,,,,,
CHE005,,CHE,21,LB,,,,eng004,,,,,,,,,,,,,,
CHE006,,CHE,24,RB,,,,eng005,,,,,,,,,,,,,,
CHE009,,CHE,8,CM,,,,arg000,,,,,,,,,,,,,,
CHE010,,CHE,25,DM,,,,ecu000,,,,,,,,,,,,,,
CHE011,,CHE,20,AM,,,,eng006,,,,,,,,,,,,,,
CHE012,,CHE,7,LW,,,,eng007,,,,,,,,,,,,,,
CHE013,,CHE,15,ST,,,,sen000,,,,,,,,,,,,,,
LIV001,,LIV,1,GK,,,,bra004,,,,,,,,,,,,,,
LIV002,,LIV,4,CB,,,,ned000,,,,,,,,,,,,,,
LIV003,,LIV,66,RB,,,,eng008,,,,,,,,,,,,,,
LIV004,,LIV,26,LB,,,,sco000,,,,,,,,,,,,,,
LIV005,,LIV,3,DM,,,,kor000,,,,,,,,,,,,,,
LIV006,,LIV,10,CM,,,,arg001,,,,,,,,,,,,,,
LIV007,,LIV,7,LW,,,,col000,,,,,,,,,,,,,,
LIV008,,LIV,20,LW,,,,por000,,,,,,,,,,,,,,
LIV009,,LIV,11,RW,,,,egy000,,,,,,,,,,,,,,
LIV010,,LIV,18,ST,,,,ned001,,,,,,,,,,,,,,
LIV011,,LIV,8,CM,,,,hun000,,,,,,,,,,,,,,
LIV012,,LIV,19,CM,,,,eng009,,,,,,,,,,,,,,
LIV013,,LIV,17,CM,,,,eng010,,,,,,,,,,,,,,
LIV014,,LIV,9,ST,,,,uru000,,,,,,,,,,,,,,
MCI001,,MCI,31,GK,,,,bra005,,,,,,,,,,,,,,
MCI002,,MCI,3,CB,,,,por001,,,,,,,,,,,,,,
MCI003,,MCI,2,RB,,,,eng011,,,,,,,,,,,,,,
MCI004,,MCI,25,CB,,,,sui000,,,,,,,,,,,,,,
MCI005,,MCI,5,CB,,,,eng012,,,,,,,,,,,,,,
MCI006,,MCI,6,CB,,,,ned002,,,,,,,,,,,,,,
MCI007,,MCI,24,LB,,,,cro000,,,,,,,,,,,,,,
MCI008,,MCI,16,DM,,,,esp002,,,,,,,,,,,,,,
MCI009,,MCI,20,AM,,,,por002,,,,,,,,,,,,,,
MCI010,,MCI,17,AM,,,,bel001,,,,,,,,,,,,,,
MCI011,,MCI,47,RW,,,,eng013,,,,,,,,,,,,,,
MCI012,,MCI,10,LW,,,,eng014,,,,,,,,,,,,,,
MCI013,,MCI,11,LW,,,,bel002,,,,,,,,,,,,,,
MCI014,,MCI,19,ST,,,,arg002,,,,,,,,,,,,,,
MCI015,,MCI,9,ST,,,,nor001,,,,,,,,,,,,,,
MUN001,,MUN,24,GK,,,,cmr000,,,,,,,,,,,,,,
MUN002,,MUN,5,CB,,,,eng015,,,,,,,,,,,,,,
MUN003,,MUN,19,CB,,,,fra001,,,,,,,,,,,,,,
MUN004,,MUN,23,LB,,,,eng016,,,,,,,,,,,,,,
MUN005,,MUN,6,CB,,,,arg003,,,,,,,,,,,,,,
MUN006,,MUN,18,DM,,,,bra006,,,,,,,,,,,,,,
MUN007,,MUN,7,AM,,,,eng017,,,,,,,,,,,,,,
MUN008,,MUN,8,AM,,,,por003,,,,,,,,,,,,,,
MUN009,,MUN,17,LW,,,,arg004,,,,,,,,,,,,,,
MUN010,,MUN,10,LW,,,,eng018,,,,,,,,,,,,,,
MUN011,,MUN,11,ST,,,,den000,,,,,,,,,,,,,,
MUN012,,MUN,37,CM,,,,eng019,,,,,,,,,,,,,,
MUN013,,MUN,29,RB,,,,eng020,,,,,,,,,,,,,,
TOT001,,TOT,13,GK,,,,ita001,,,,,,,,,,,,,,
TOT002,,TOT,17,CB,,,,arg005,,,,,,,,,,,,,,
TOT003,,TOT,12,RB,,,,bra007,,,,,,,,,,,,,,
TOT004,,TOT,21,RW,,,,swe000,,,,,,,,,,,,,,
TOT005,,TOT,10,AM,,,,eng021,,,,,,,,,,,,,,
TOT006,,TOT,9,ST,,,,bra008,,,,,,,,,,,,,,
TOT007,,TOT,7,LW,,,,jap001,,,,,,,,,,,,,,
TOT008,,TOT,16,ST,,,,ger001,,,,,,,,,,,,,,
TOT009,,TOT,18,CM,,,,arg006,,,,,,,,,,,,,,
TOT010,,TOT,30,CM,,,,uru001,,,,,,,,,,,,,,
TOT011,,TOT,33,CB,,,,wal000,,,,,,,,,,,,,,
RMA001,,RMA,13,GK,,,,ukr001,,,,,,,,,,,,,,
RMA002,,RMA,22,CB,,,,ger002,,,,,,,,,,,,,,
RMA003,,RMA,23,LB,,,,fra002,,,,,,,,,,,,,,
RMA004,,RMA,32,RB,,,,esp003,,,,,,,,,,,,,,
RMA005,,RMA,12,DM,,,,fra003,,,,,,,,,,,,,,
RMA006,,RMA,18,DM,,,,fra004,,,,,,,,,,,,,,
RMA007,,RMA,15,CM,,,,uru002,,,,,,,,,,,,,,
RMA008,,RMA,8,CM,,,,ger003,,,,,,,,,,,,,,
RMA009,,RMA,5,AM,,,,eng022,,,,,,,,,,,,,,
RMA010,,RMA,10,CM,,,,cro001,,,,,,,,,,,,,,
RMA011 ,,RMA,7,LW,,,,bra009,,,,,,,,,,,,,,
RMA012,,RMA,11,LW,,,,bra010,,,,,,,,,,,,,,
RMA013,,RMA,26,CB,,,,bra011,,,,,,,,,,,,,,
RMA014,,RMA,4,CB,,,,aut000,,,,,,,,,,,,,,
BAR001,,BAR,1,GK,,,,ger004,,,,,,,,,,,,,,
BAR002,,BAR,20,RB,,,,esp004,,,,,,,,,,,,,,
BAR003,,BAR,23,CB,,,,uru003,,,,,,,,,,,,,,
BAR004,,BAR,4,CB,,,,fra005,,,,,,,,,,,,,,
BAR005,,BAR,2,LB,,,,por004,,,,,,,,,,,,,,
BAR006,,BAR,22,CM,,,,ger005,,,,,,,,,,,,,,
BAR007,,BAR,6,CM,,,,esp005,,,,,,,,,,,,,,
BAR008,,BAR,7,AM,,,,esp006,,,,,,,,,,,,,,
BAR009,,BAR,14,LW,,,,por005,,,,,,,,,,,,,,
BAR010,,BAR,21,CM,,,,ned003,,,,,,,,,,,,,,
BAR011,,BAR,11,RW,,,,bra012,,,,,,,,,,,,,,
BAR012,,BAR,27,RW,,,,esp007,,,,,,,,,,,,,,
BAR013,,BAR,9,ST,,,,pol000,,,,,,,,,,,,,,
ATM001,,ATM,13,GK,,,,slo000,,,,,,,,,,,,,,
ATM002,,ATM,3,RB,,,,esp008,,,,,,,,,,,,,,
ATM003,,ATM,2,CB,,,,uru004,,,,,,,,,,,,,,
ATM004,,ATM,22,CB,,,,uru005,,,,,,,,,,,,,,
ATM005,,ATM,15,CB,,,,mne000,,,,,,,,,,,,,,
ATM006,,ATM,5,DM,,,,arg007,,,,,,,,,,,,,,
ATM007,,ATM,5,RW,,,,esp009,,,,,,,,,,,,,,
ATM008,,ATM,8,CM,,,,esp010,,,,,,,,,,,,,,
ATM009,,ATM,6,CM,,,,esp011,,,,,,,,,,,,,,
ATM010,,ATM,7,AM,,,,fra006,,,,,,,,,,,,,,
ATM011,,ATM,19,ST,,,,esp012,,,,,,,,,,,,,,
ATM012,,ATM,9,ST,,,,ned004,,,,,,,,,,,,,,
ATM013,,ATM,10,LW,,,,arg008,,,,,,,,,,,,,,
BAY001,,BAY,1,GK,,,,ger006,,,,,,,,,,,,,,
BAY002,,BAY,2,CB,,,,fra007,,,,,,,,,,,,,,
BAY003,,BAY,3,CB,,,,kor001,,,,,,,,,,,,,,
BAY004,,BAY,4,CB,,,,ned005,,,,,,,,,,,,,,
BAY005,,BAY,15,CB,,,,eng023,,,,,,,,,,,,,,
BAY006,,BAY,19,LB,,,,can000,,,,,,,,,,,,,,
BAY007,,BAY,6,DM,,,,ger007,,,,,,,,,,,,,,
BAY008,,BAY,8,CM,,,,ger008,,,,,,,,,,,,,,
BAY009,,BAY,27,DM,,,,aut001,,,,,,,,,,,,,,
BAY010,,BAY,42,AM,,,,ger009,,,,,,,,,,,,,,
BAY011,,BAY,25,ST,,,,ger010,,,,,,,,,,,,,,
BAY012,,BAY,10,LW,,,,ger011,,,,,,,,,,,,,,
BAY013,,BAY,7,RW,,,,ger012,,,,,,,,,,,,,,
BAY014,,BAY,11,LW,,,,fra008,,,,,,,,,,,,,,
BAY012,,BAY,9,ST,,,,eng025,,,,,,,,,,,,,,
BVB001,,BVB,1,GK,,,,sui001,,,,,,,,,,,,,,
BVB002,,BVB,25,CB,,,,ger013,,,,,,,,,,,,,,
BVB003,,BVB,15,CB,,,,ger014,,,,,,,,,,,,,,
BVB004,,BVB,22,LB,,,,ned006,,,,,,,,,,,,,,
BVB005,,BVB,17,RB,,,,ger015,,,,,,,,,,,,,,
BVB006,,BVB,20,CM,,,,aut002,,,,,,,,,,,,,,
BVB007,,BVB,10,LW,,,,eng026,,,,,,,,,,,,,,
BVB008,,BVB,23,DM,,,,ger016,,,,,,,,,,,,,,
BVB009,,BVB,19,AM,,,,ger017,,,,,,,,,,,,,,
BVB010,,BVB,11,AM,,,,ger018,,,,,,,,,,,,,,
BVB011,,BVB,14,ST,,,,ger019,,,,,,,,,,,,,,
B04001,,B04,17,GK,,,,ger020,,,,,,,,,,,,,,
B04002,,B04,4,CM,,,,ger021,,,,,,,,,,,,,,
B04003,,B04,12,CB,,,,bur000,,,,,,,,,,,,,,
B04004,,B04,3,CB,,,,ecu001,,,,,,,,,,,,,,
B04005,,B04,34,DM,,,,sui002,,,,,,,,,,,,,,
B04006,,B04,20,LB,,,,esp013,,,,,,,,,,,,,,
B04007,,B04,30,RM,,,,ned007,,,,,,,,,,,,,,
B04008,,B04,8,DM,,,,ger022,,,,,,,,,,,,,,
B04009,,B04,2,CB,,,,cro002,,,,,,,,,,,,,,
B04010,,B04,10,AM,,,,ger023,,,,,,,,,,,,,,
B04011,,B04,21,LW,,,,mar000,,,,,,,,,,,,,,
INT001,,INT,1,GK,,,,sui003,,,,,,,,,,,,,,
INT002,,INT,21,CB,,,,fra009,,,,,,,,,,,,,,
INT003,,INT,95,CB,,,,ita002,,,,,,,,,,,,,,
INT004,,INT,6,CB,,,,ned008,,,,,,,,,,,,,,
INT005,,INT,20,DM,,,,tur000,,,,,,,,,,,,,,
INT006,,INT,7,CM,,,,col001,,,,,,,,,,,,,,
INT007,,INT,2,DM,,,,ned009,,,,,,,,,,,,,,
INT008,,INT,32,LB,,,,ita003,,,,,,,,,,,,,,
INT009,,INT,23,CM,,,,ita004,,,,,,,,,,,,,,
INT010,,INT,30,CM,,,,bra013,,,,,,,,,,,,,,
INT011,,INT,16,CM,,,,ita005,,,,,,,,,,,,,,
INT012,,INT,9,ST,,,,fra010,,,,,,,,,,,,,,
INT013,,INT,70,ST,,,,chi000,,,,,,,,,,,,,,
INT014,,INT,10,CF,,,,arg009,,,,,,,,,,,,,,
PSG001,,PSG,99,GK,,,,ita006,,,,,,,,,,,,,,
PSG002,,PSG,2,RB,,,,mar001,,,,,,,,,,,,,,
PSG003,,PSG,21,LB,,,,fra011,,,,,,,,,,,,,,
PSG004,,PSG,37,CB,,,,svk000,,,,,,,,,,,,,,
PSG005,,PSG,5,CB,,,,bra014,,,,,,,,,,,,,,
PSG006,,PSG,25,LB,,,,por006,,,,,,,,,,,,,,
PSG007,,PSG,15,DM,,,,por007,,,,,,,,,,,,,,
PSG008,,PSG,19,AM,,,,kor002,,,,,,,,,,,,,,
PSG009,,PSG,17,CM,,,,por008,,,,,,,,,,,,,,
PSG010,,PSG,7,LW,,,,fra012,,,,,,,,,,,,,,
PSG011,,PSG,10,RW,,,,fra013,,,,,,,,,,,,,,
PSG012,,PSG,8,CM,,,,esp014,,,,,,,,,,,,,,
PSG013,,PSG,4,DM,,,,uru006,,,,,,,,,,,,,,
PSG014,,PSG,11,RW,,,,esp015,,,,,,,,,,,,,,
PSG015,,PSG,9,ST,,,,por009,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
